Accession,Gene
Q13895,BYSL
P11586,MTHFD1
E7ETN3,1 SV
O75844,ZMPSTE24
P27708,CAD
P12830,CDH1
P22223,CDH3
Q99653,CHP1
Q8IWX8,CHERP
Q9UM00,TMCO1
S4R468,MCU
Q5SWX3,CAMK2G
Q13557,CAMK2D
O75746,SLC25A12
Q9UJS0,SLC25A13
Q6NUK1,SLC25A24
Q6KCM7,SLC25A25
Q9Y2V2,CARHSP1
Q9HB71,CACYBP
P0DP25,CALM3
P27482,CALML3
Q9NZT1,CALML5
P27824,CANX
F8W7E0,CAST
A0A0C4DGB5,CAST
P04632,CAPNS1
Q96L46,CAPNS2
P07384,CAPN1
K7ES69,CNN2
P27797,CALR
O43852,CALU
K7ERP6,PRKACA
P10644,PRKAR1A
P13861,PRKAR2A
Q14444,CAPRIN1
Q8N1G2,CMTR1
P31327,CPS1
P00918,CA2
P07451,CA3
P16152,CBR1
Q9UI42,CPA4
O75976,CPD
P43155,CRAT
P50416,CPT1A
P23786,CPT2
U3KPX3,CSNK1A1
H7BYT1,CSNK1D
P49674,CSNK1E
Q9Y6M4,CSNK1G3
E7EU96,CSNK2A1
P19784,CSNK2A2
P67870,CSNK2B
Q9H078,CLPB
P31944,CASP14
P04040,CAT
P21964,COMT
P35221,CTNNA1
P26232,CTNNA2
A0A2R8YCH5,CTNNB1
A0A669KB62,CTNND1
C9JZR2,CTNND1
P07858,CTSB
A0A1B0GVD5,CTSD
P08311,CTSG
O60911,CTSV
Q9UBR2,CTSZ
P20645,M6PR
P11717,IGF2R
Q03701,CEBPZ
A5YKK6,CNOT1
Q9UKZ1,CNOT11
F8W145,CNOT2
O95400,CD2BP2
Q5ZPR3,CD276
A0A2U3TZL5,CD59
P21926,CD9
A0A096LP69,CD99
D6RCF4,CISD2
B4E101,TAMM41
Q8N163,CCAR2
A0A669KBF5,TMEM30A
P60953,CDC42
G5EA36,CDC27
Q99459,CDC5L
A0A0C4DGG8,CCAR1
Q13042,CDC16
Q12834,CDC20
Q9UJX2,CDC23
P30260,CDC27
Q9NX58,LYAR
P62633,CNBP
P29373,CRABP2
Q8N137,CNTROB
Q7Z7K6,CENPV
Q6ZU80,CEP128
Q9UPN4,CEP131
Q5SW79,CEP170
Q9BYV8,CEP41
Q53EZ4,CEP55
Q96G23,CERS2
Q8IU89,CERS3
Q6ZMG9,CERS6
H3BQD0,CBLN1
Q9NTU7,CBLN4
E9PFZ2,CP
A0A2R8YE50,PRKG1
F8VUA2,CHMP1A
O43633,CHMP2A
